Employee_ID,Name,Age,Department,Salary,Joining_Date,Performance_Score,Working_Hours,Attrition
101,Alice,25.0,HR,5000.0,2015-06-23,3.0,40.0,No
102,Bob,30.0,IT,6000.0,2016-07-25,4.0,42.0,Yes
103,Charlie,,IT,7000.0,2018-03-19,5.0,38.0,No
104,David,40.0,Finance,8000.0,2012-05-14,2.0,50.0,Yes
105,Emma,35.0,HR,7500.0,2017-09-30,,45.0,No
106,Frank,28.0,Marketing,,2019-11-01,4.0,39.0,No
107,Grace,45.0,Finance,9000.0,2011-02-10,3.0,41.0,Yes
108,Helen,32.0,IT,7200.0,2014-12-05,5.0,43.0,No
109,Ivy,,Marketing,6500.0,2018-06-15,4.0,37.0,Yes
110,Jack,50.0,Finance,,2013-08-20,,,No
